	Characteristics	OR	CI	Beta	P	SE
288	hypertensionyes	0.0015	0-4393643.4275	-6.49856313546072	0.559387585810515	11.1195063848063
289	g_Ruminococcaceae_UCG_005	Inf	Inf-Inf	1749.27577104704	1.03201298154411e-07	320.442861788312
290	sexmale	7582.9975	0-115593688128873	8.93366384391319	0.455805958096643	11.9629788907151
291	BMI	0.207	0.0021-20.0977	-1.57521840882468	0.500388925600421	2.33460272290119
292	hypertensionyes	0.0019	0-2041597.9056	-6.26605664339534	0.555257529185313	10.6098469335141
293	g_Collinsella	9.58849153410718e+115	0-Inf	267.057849275125	0.416251841951856	328.036300204801
294	sexmale	34156.3172	0-1698225888968140	10.4387028330822	0.40682884220548	12.566151874103
295	BMI	0.1759	0.0014-21.5809	-1.73807709838702	0.479357206975552	2.45402418453511
296	hypertensionyes	0.0011	0-3405060.246	-6.77453561074449	0.543228414684631	11.1302595926216
297	g_Lachnospiraceae_NK4A136_group	1.60269934062063e+188	0-Inf	433.35768677848	0.201311171876105	338.364553276355
298	sexmale	45166.3424	0-2149914763326549	10.7181074518449	0.393565681289829	12.5439271119669
299	BMI	0.1642	0.0013-19.9822	-1.80667685925652	0.461421071003661	2.44975525368776
300	hypertensionyes	7e-04	0-2029398.6423	-7.26856716163143	0.513792972718569	11.1182740986916
301	g_Ruminococcus_gnavus_group	0	0-0	-917.373970555645	0.00367044092094341	313.195005399081
302	sexmale	36319.8613	0-1259902778358421	10.5001200130503	0.397150343855789	12.382495377456
303	BMI	0.164	0.0014-18.7256	-1.80805235080084	0.455093713078876	2.41731812996407
304	hypertensionyes	0.0069	0-15838599.4881	-4.97865366904807	0.651121716770417	10.998272547621
305	g_Desulfovibrio	Inf	Inf-Inf	2267.1610594419	0.000266112975175176	614.102901751629
306	sexmale	260.5691	0-8206674518909.69	5.56286800129036	0.652293422707975	12.3332147467034
307	BMI	0.2008	0.0018-21.9991	-1.60546154344219	0.503382531827818	2.39615370740785
308	hypertensionyes	3e-04	0-507562.2311	-8.21927199431581	0.451270514114182	10.8962482651205
309	g_Dorea	1.52833215653452e+217	0-Inf	500.08514222676	0.462167425566152	679.220150891575
310	sexmale	25129.3033	0-1223233104083164	10.1317899063579	0.420347380585306	12.555348942514
311	BMI	0.2039	0.0017-24.8162	-1.59030709595294	0.516768850379262	2.4498993894263
312	hypertensionyes	0.001	0-3023772.4142	-6.90049801764507	0.53589644460174	11.1339355975696
313	g_Eubacterium_hallii_group	Inf	9.02432654372084e+116-Inf	1496.90998498635	0.0174907403107268	626.331729754492
314	sexmale	79442.051	0-3172254188956016	11.2827831168522	0.365725209872698	12.454303935639
315	BMI	0.1792	0.0015-20.918	-1.71932080039891	0.47953688107565	2.42853547414611
316	hypertensionyes	1e-04	0-200245.0184	-9.53900236293772	0.390637862758612	11.0950506891056
317	g_Intestinibacter	3.99185651153798e+116	0-Inf	268.484127201109	0.512740200860178	409.657613492658
318	sexmale	23835.1739	0-1163569019191610	10.0789176637903	0.422827767132796	12.5568116088983
319	BMI	0.1847	0.0015-22.6228	-1.68876792888395	0.491707904828638	2.45292191368718
320	hypertensionyes	0.0013	0-3855642.3208	-6.66157101810988	0.550175133948105	11.1360301986661
321	g_Paeniclostridium	1.74813159552917e+38	0-1.10676809562369e+217	88.0567810916569	0.675373774107409	210.053891954481
322	sexmale	14593.2779	0-748059250112947	9.58831628237952	0.446632187870324	12.5817280713099
323	BMI	0.199	0.0016-24.2843	-1.61464496559707	0.510613429762119	2.45126324785014
324	hypertensionyes	0.0013	0-3871668.1534	-6.66976158081594	0.549910583671719	11.1423253062972
325	g_Lachnospira	0	0-5.97552681312626e+184	-506.168086802288	0.287812428378419	475.322151110553
326	sexmale	11748.7015	0-564347460348628	9.37149800587255	0.455780481497221	12.5485679777103
327	BMI	0.331	0.0025-43.8513	-1.10570121804201	0.657734672386788	2.49311563976323
328	hypertensionyes	0.0013	0-3934129.5873	-6.61432968229742	0.552512214609786	11.1222091326606
329	g_Ruminococcus_1	Inf	3.69839362747446e+227-Inf	1721.50216104328	0.00517142683499886	610.973186919895
330	sexmale	2561028.0485	1e-04-114800713023855136	14.7559193172754	0.239280661829047	12.5132932512809
331	BMI	0.2659	0.0023-30.5909	-1.32477651900051	0.584687412808336	2.42116309266401
332	hypertensionyes	0.0016	0-3761708.3241	-6.40747746066283	0.560464850668847	10.993806742027
333	g_Eubacterium_eligens_group	2.29349007063721e+191	0-Inf	440.623827467559	0.257213232586852	388.130979727628
334	sexmale	49901.6852	0-2457310055764809	10.8178100528171	0.38983883547007	12.5612416431089
335	BMI	0.1706	0.0014-20.7904	-1.76826052758784	0.471107766778622	2.45038305542665
336	hypertensionyes	0.0012	0-3454133.7145	-6.73677845259284	0.545044633878314	11.1182962767758
337	s_Zantedeschia_aethiopica	Inf	0-Inf	1272029.51013721	0.355510894333558	1374518.07654636
338	sexmale	23890.3086	0-1142164952819917	10.0812281575567	0.422328300463926	12.5461600919418
339	BMI	0.2517	0.002-31.3346	-1.37948408710457	0.575597978586504	2.46133003823923
340	hypertensionyes	0.0014	0-4038790.8399	-6.59963741267885	0.553604734628095	11.1281088371255
341	s_Xenorhabdus_nematophila	Inf	0-Inf	2284902.8697948	0.213731922369751	1833623.45998069
342	sexmale	33399.238	0-1566569616225163	10.4162883641901	0.406725948863941	12.5364164804895
343	BMI	0.184	0.0015-22.2353	-1.69305053553605	0.489437206546033	2.44629076055971
344	hypertensionyes	0.0023	0-6669868.526	-6.09482635481106	0.584268685313133	11.1264985006418
345	s_Weissella_viridescens	Inf	0-Inf	39293.3682155366	0.897487419918022	304719.395162697
346	sexmale	20971.1188	0-1047581915176352	9.95090147265857	0.429167338943913	12.5685507615584
347	BMI	0.2018	0.0016-24.7474	-1.60064313219146	0.514711185510984	2.45375773505376
348	hypertensionyes	0.001	0-3347294.268	-6.8942621155679	0.538039276592622	11.1826148019444
349	s_Weissella_paramesenteroides	0	0-Inf	-13285.2125124627	0.843100808569851	67060.8717150747
350	sexmale	17268.6136	0-888914775098159	9.75664588777813	0.438778757475005	12.5838656086926
351	BMI	0.2033	0.0017-24.9475	-1.59288435694585	0.516775126616996	2.45390647350549
352	hypertensionyes	0.0012	0-3756406.4652	-6.70891835129842	0.547735910433765	11.1468835113944
353	s_Weissella_ghanensis	0	0-Inf	-200526.229703759	0.406802234588496	241380.565247249
354	sexmale	14080.0716	0-685355545949316	9.5525157129078	0.447376770147872	12.5553281386771
355	BMI	0.2122	0.0017-25.8531	-1.5500571020535	0.527487010981314	2.45024789058837
356	hypertensionyes	7e-04	0-2204622.0188	-7.23554701808378	0.516662758429109	11.1436804337755
357	s_Weeksella_virosa	Inf	Inf-Inf	1163921.53349185	0.0152173842044019	476682.001843176
358	sexmale	47530.3554	0-1848004920551731	10.7691238462171	0.387407311412215	12.4406934615029
359	BMI	0.2675	0.0023-31.3254	-1.3185424130496	0.587830055737762	2.43008822089381
360	hypertensionyes	1e-04	0-288124.7132	-9.12997285781708	0.410278732406171	11.072000793387
361	s_Veillonella_magna	Inf	0-Inf	29608.8955623492	0.0618566548096513	15794.8007447943
362	sexmale	61246.8478	0-2684542142350852	11.0226676624602	0.378680860227202	12.5018463885746
363	BMI	0.1767	0.0015-21.0169	-1.73330822747068	0.477699714099845	2.43807865815876
364	hypertensionyes	0.0016	0-4293659.8555	-6.43887607766656	0.561513467074919	11.0773092438981
365	s_Vagococcus_teuberi	Inf	Inf-Inf	219578.886244071	0.0455854741380804	109358.031768674
366	sexmale	31057.9585	0-1300315183649008	10.3436103671033	0.407835160208505	12.4784554652294
367	BMI	0.3043	0.0025-36.6296	-1.18973300893469	0.626796083277289	2.44417901495662
368	hypertensionyes	0.0018	0-4803333.242	-6.30943516682878	0.569096580345976	11.0684978709753
369	s_Trichuris_trichiura	Inf	Inf-Inf	1590712.40077259	0.0220299628672763	690928.442010008
370	sexmale	3531.4607	0-146086364142458	8.16946686263535	0.512983817495485	12.4723225690489
371	BMI	0.244	0.0021-28.6488	-1.41045933545858	0.56230009344643	2.43141292359972
372	hypertensionyes	1e-04	0-321633.8427	-9.04809858895213	0.415088337175208	11.0863610367818
373	s_Treponema_succinifaciens	Inf	0-Inf	60766.7633936788	0.150652569560412	42168.3341224973
374	sexmale	9146.4063	0-423708996427896	9.12111633105368	0.467241051129742	12.5300773853549
375	BMI	0.2365	0.002-28.5751	-1.441862179592	0.556021082899965	2.44612146899235
376	hypertensionyes	7e-04	0-2074936.5456	-7.22554137622754	0.515885007785516	11.1076441362081
377	s_Treponema_refringens	Inf	0-Inf	2154491.55235445	0.120882354991008	1384933.58311611
378	sexmale	36892.2674	0-1666390414375108	10.5157572522603	0.401543576564747	12.5171831639302
379	BMI	0.1875	0.0016-22.4782	-1.67400471831614	0.493595387552156	2.44211863383128
380	hypertensionyes	0.0025	0-7280896.6062	-5.97204015392091	0.591262544141272	11.1085738401567
381	s_Treponema_porcinum	Inf	0-Inf	57890.0256834087	0.347857680912617	61566.6005806825
382	sexmale	5089.7454	0-285707790439776	8.53498308504382	0.499661012674287	12.6280651059451
383	BMI	0.2212	0.0018-26.971	-1.50873726841117	0.538630505245497	2.45076458424712
384	hypertensionyes	0.0017	0-5114726.7958	-6.37507496481245	0.567377375982164	11.1340354634662
385	s_Traorella_massiliensis	Inf	0-Inf	525017.78760433	0.294228312988583	499636.256997011
386	sexmale	7677.8669	0-386351508847583	8.9460970409155	0.477303146845876	12.5722814667222
387	BMI	0.202	0.0017-24.4705	-1.5993706491633	0.513949363110515	2.44736740886121
388	hypertensionyes	0.0016	0-4838937.5035	-6.4166066599222	0.564609387543741	11.1269450971692
389	s_Thioalkalimicrobium_cyclicum	Inf	Inf-Inf	1683756.78038524	0.0187506575836461	712312.499214427
390	sexmale	1142.1293	0-50103451125134.3	7.04064964127055	0.573769779393016	12.5022762066886
391	BMI	0.1506	0.0013-17.6791	-1.89343384671527	0.436794870036791	2.43153874729186
392	hypertensionyes	3e-04	0-672721.9513	-8.2476576236555	0.456217622860228	11.054461734046
393	s_Tetragenococcus_halophilus	Inf	0-Inf	1252333.15413471	0.636008200370895	2643230.47206404
394	sexmale	25182.7279	0-1256322944377373	10.1339136375038	0.420713227789152	12.5678836294502
395	BMI	0.1932	0.0016-23.6167	-1.64381835814402	0.50312575645665	2.45192487833296
396	hypertensionyes	8e-04	0-2544551.5827	-7.13332997466532	0.523381869201809	11.1646913120897
397	s_Synergistes_jonesii	Inf	0-Inf	4904.03495561544	0.480276131203768	6938.61414838146
398	sexmale	12899.418	0-643220563884804	9.46493747349187	0.451990980132988	12.5676384341859
399	BMI	0.1968	0.0016-23.9599	-1.62552643494917	0.507544007699949	2.44995402699566
400	hypertensionyes	0.0021	0-6886675.8893	-6.14552426114045	0.582575695613941	11.1686853741489
401	s_Sutturella_timonensis	Inf	Inf-Inf	9402.50057401341	0.0102096336782624	3636.43774485786
402	sexmale	112345.8087	0-4348051157598140	11.6293369707999	0.350590429729214	12.438350591366
403	BMI	0.1488	0.0013-17.3086	-1.90525097288792	0.433038131606168	2.42676252840236
404	hypertensionyes	3e-04	0-669067.781	-8.20566183196895	0.457527439752289	11.0302563687706
405	s_Succinispira_mobilis	Inf	0-Inf	25455.9330405464	0.686415390060286	62989.3320366449
406	sexmale	22697.8513	0-1123054166284788	10.0300255437634	0.425331451829332	12.5636748771927
407	BMI	0.2054	0.0017-25.1317	-1.582669478594	0.519217222656481	2.45244862579294
408	hypertensionyes	0.0013	0-4119162.6605	-6.61614802736564	0.553271876411298	11.1465859644335
409	s_Streptococcus_urinalis	Inf	0-Inf	7888.52149173512	0.355510894333558	8524.10679249479
410	sexmale	23890.3086	0-1142164952819917	10.0812281575567	0.422328300463926	12.5461600919418
411	BMI	0.2517	0.002-31.3346	-1.37948408710457	0.575597978586504	2.46133003823923
412	hypertensionyes	0.0014	0-4038790.8399	-6.59963741267885	0.553604734628095	11.1281088371255
413	s_Streptococcus_thermophilus	Inf	Inf-Inf	279714.638480802	0.0141085315136583	113268.209112096
414	sexmale	12677.922	0-486609118015433	9.44761733583882	0.447984994209326	12.434114769632
415	BMI	0.2561	0.0022-29.9038	-1.36218460228876	0.575314287642915	2.42865826803367
416	hypertensionyes	0.01	0-26028842.9945	-4.60697680471638	0.677378620776373	11.0620880774363
417	s_Streptococcus_sobrinus	Inf	0-Inf	6368.27250731745	0.770061511463735	21766.73338802
418	sexmale	21923.1901	0-1088421308847061	9.99530026431608	0.426997935424976	12.5654104267701
419	BMI	0.2133	0.0017-26.6171	-1.54506661878132	0.530877626811699	2.46256114928558
420	hypertensionyes	0.001	0-3121316.5577	-6.90000219439789	0.536508676321109	11.1498814483654
421	s_Streptococcus_parauberis	0	0-Inf	-201851.963003643	0.507503061576142	304197.019309459
422	sexmale	54820.4336	0-3184564306751816	10.9118182788232	0.388909037882502	12.6455477552989
423	BMI	0.1744	0.0014-21.5893	-1.74620487806067	0.478084408983939	2.45836850496315
424	hypertensionyes	9e-04	0-2804611.2615	-6.98602443367125	0.531051040013132	11.1391836394465
425	s_Streptococcus_mutans	Inf	0-Inf	827468.426891949	0.534500836716659	1330558.50919556
426	sexmale	26294.0591	0-1298308327607983	10.1770983041022	0.418543863088855	12.562622561945
427	BMI	0.1995	0.0016-24.3072	-1.61194325271278	0.511166031971673	2.45036601440227
428	hypertensionyes	7e-04	0-2178682.8848	-7.29304405598506	0.514217298724215	11.1669771055465
429	s_Streptococcus_equinus	0	0-Inf	-117.114467980429	0.803971606598656	471.40228048392
430	sexmale	15786.1189	0-834721802698419	9.66688628331735	0.44349318311777	12.5975680262895
431	BMI	0.1984	0.0016-24.2475	-1.61722779081672	0.510031584705652	2.45180646867658
432	hypertensionyes	0.0014	0-4703743.7436	-6.54667682994694	0.558580799281759	11.1788500616015
433	s_Streptococcus_dentirousetti	Inf	0-Inf	2874.29703396731	0.386179105306041	3311.85297190475
434	sexmale	26339.7212	0-1271147165909912	10.1788333915363	0.418032472470636	12.5509503961106
435	BMI	0.237	0.0019-29.2486	-1.43973937979569	0.55833791609257	2.45692460294634
436	hypertensionyes	5e-04	0-1484660.2561	-7.7019726840314	0.491432319172877	11.1799332675144
437	s_Streptococcus_anginosus	715664.9929	0-Inf	13.480967449416	0.972543932315846	391.346015022995
438	sexmale	18899.5831	0-1141652700408980	9.84689514433259	0.437524110013061	12.6654888777199
439	BMI	0.2016	0.0016-25.7657	-1.60132512159352	0.518091132878686	2.47467847790432
440	hypertensionyes	0.0011	0-3490485.2631	-6.77527077295432	0.54365554208604	11.1432765823173
441	s_Streptococcus_agalactiae	Inf	0-Inf	35374.3179442671	0.194180495354195	27183.1119998718
442	sexmale	13948.4228	0-645602367606734	9.54312172191971	0.4468935407261	12.5296342746197
443	BMI	0.1781	0.0015-21.5337	-1.72528035734895	0.481229791301881	2.44637831878536
444	hypertensionyes	0.0026	0-7841972.3961	-5.93785474733185	0.59406471910325	11.1290080046725
445	s_Stenotrophomonas_ginsengisoli	Inf	Inf-Inf	4153067.85466755	0.0102727804088392	1607561.29628485
446	sexmale	60616.8363	0-2299212716415104	11.0123279598631	0.376308326822409	12.4280689807014
447	BMI	0.1566	0.0013-18.1937	-1.85381868386313	0.4453971902839	2.42596603102045
448	hypertensionyes	0.005	0-12346497.1917	-5.29268677631393	0.631744453270061	11.0314131269996
449	s_Staphylococcus_sciuri	Inf	Inf-Inf	54841.2459599311	0.00964373674080661	21046.6726645792
450	sexmale	61889.0778	0-2337038590073477	11.0330989943086	0.375322792989556	12.4257969227944
451	BMI	0.157	0.0014-18.2125	-1.85173724445539	0.445807863192399	2.42543264724601
452	hypertensionyes	0.0052	0-12626374.2023	-5.266588890029	0.633367931868809	11.0295343188455
453	s_Staphylococcus_aureus	Inf	0-Inf	2001.40001183162	0.820134295682349	8794.30046057618
454	sexmale	17449.5876	0-884745632020196	9.76707129543702	0.438009571259283	12.5761479605816
455	BMI	0.2098	0.0017-26.1626	-1.56148074837101	0.526455753925852	2.46214920372801
456	hypertensionyes	0.0011	0-3390587.4439	-6.80346372063912	0.541965543379784	11.1428456491099
457	s_Sporosarcina_pasteurii	Inf	0-Inf	4146.4535619462	0.388259733387882	4798.68361195939
458	sexmale	28363.7753	0-1375970715097570	10.2528680924987	0.414757222393346	12.5536059995225
459	BMI	0.1907	0.0016-23.1949	-1.65683715152611	0.499306604353896	2.44937267429964
460	hypertensionyes	0.0018	0-5484868.4281	-6.31890363628101	0.571035977933918	11.1410241327039
461	s_Sneathia_sanguinegens	Inf	0-Inf	113718.709907812	0.290959509190797	107489.188970643
462	sexmale	36871.8589	0-1784363494402695	10.5152039083758	0.402887507332746	12.5523644144928
463	BMI	0.1982	0.0016-23.9972	-1.61872498189877	0.508857593437504	2.44727652645372
464	hypertensionyes	8e-04	0-2406959.5119	-7.11341018056571	0.52310777879831	11.1261658552078
465	s_Sneathia_amnii	0	0-Inf	-7221.96732466198	0.311221197907868	7119.16396497296
466	sexmale	12887.0448	0-618791501646899	9.4639778059122	0.451343468690266	12.548373313785
467	BMI	0.1941	0.0016-23.5273	-1.63950910437319	0.503525776867856	2.44779182405077
468	hypertensionyes	0.0027	0-8533258.4896	-5.90620511454368	0.596919606537281	11.1559627370069
469	s_Slackia_piriformis	Inf	0-Inf	868425.563110906	0.421982217295971	1079955.18949666
470	sexmale	7490.4921	0-404533877345749	8.9213897808229	0.479777646918955	12.6083504179903
471	BMI	0.1654	0.0013-20.5464	-1.79935152009112	0.465141415531221	2.46022388342489
472	hypertensionyes	0.0022	0-6966608.1088	-6.11760267664901	0.58400780573199	11.1603273976751
473	s_Serratia_marcescens	Inf	Inf-Inf	440184.45765478	0.0107735210959694	171504.164691196
474	sexmale	9065.754	0-342658607315663	9.11225929425596	0.463966312728327	12.4262737036919
475	BMI	0.1403	0.0012-16.3763	-1.96378853856608	0.419363091434528	2.4283805882139
476	hypertensionyes	0.0099	0-25098132.6807	-4.61974988688801	0.676202118128739	11.0500274964437
477	s_Sedimentibacter_hongkongensis	0	0-Inf	-68279.256371376	0.539027226349937	111020.052917254
478	sexmale	12873.1124	0-651665620240602	9.46289610290408	0.452364980952115	12.575334995411
479	BMI	0.2031	0.0017-24.7577	-1.59402327934028	0.515909049718733	2.45059260266458
480	hypertensionyes	0.0011	0-3272511.846	-6.82561793209146	0.540405250208828	11.1360644534318
481	s_Scardovia_wiggsiae	0	0-Inf	-6381.8056837274	0.862107978748846	36709.4744505847
482	sexmale	19061.6533	0-946463962589293	9.8554339173004	0.433490798567103	12.565469435797
483	BMI	0.1925	0.0016-23.9034	-1.6477110371113	0.50353104828025	2.46006774544065
484	hypertensionyes	0.0011	0-3435414.1684	-6.79045426328472	0.542740179976796	11.1429093432108
485	s_Savagea_faecisuis	0	0-Inf	-17713.4759875535	0.829014561560202	81945.6636940298
486	sexmale	17440.7365	0-887330516005772	9.7665639250248	0.438096914072357	12.5778952684366
487	BMI	0.2044	0.0017-25.1095	-1.5876984071871	0.518251928070033	2.45456358804572
488	hypertensionyes	0.001	0-3100215.0771	-6.95233654567274	0.534276246329005	11.1731217308338
489	s_Salinisphaera_halophila	Inf	Inf-Inf	671018.322821929	0.0067244435877005	245804.28889939
490	sexmale	69637.4173	0-2563295190324437	11.1510573069435	0.36974454208168	12.412761582892
491	BMI	0.1845	0.0016-21.2324	-1.68993472304607	0.485746279021113	2.42115364128913
492	hypertensionyes	1e-04	0-321885.8791	-8.93807602777309	0.418436621776109	11.0306267228884
493	s_Ruminococcus_torques	Inf	0-Inf	310116.262629192	0.509102598070685	469122.043760226
494	sexmale	30987.0046	0-1556321991340742	10.3413231879916	0.411406516025565	12.5713155849878
495	BMI	0.2007	0.0016-24.4435	-1.60597966884386	0.512696188144487	2.45017488414733
496	hypertensionyes	7e-04	0-2294428.6674	-7.21769886300044	0.518119471632586	11.1549455545055
497	s_Ruminococcus_gnavus	0	0-Inf	-1038995.47836924	0.273689326753259	947390.977624375
498	sexmale	21377.7954	0-1004518056502784	9.97010806195262	0.427130340627655	12.5373348028989
499	BMI	0.1828	0.0015-22.181	-1.69920869627431	0.488196671131717	2.44818528122368
500	hypertensionyes	0.0018	0-5267374.6653	-6.33216594585201	0.56974817481711	11.1271472327873
501	s_Ruminococcus_gauvreauii	Inf	0-Inf	79686.8533893502	0.517240572870298	122897.516330892
502	sexmale	26706.8629	0-1317350793563269	10.1926758496253	0.417813565520665	12.5621037197134
503	BMI	0.218	0.0018-26.7583	-1.5232254826102	0.535298394241605	2.45411786290314
504	hypertensionyes	0.0011	0-3323281.8932	-6.80824379505114	0.541399316115392	11.1350546784266
505	s_Ruminococcus_flavefaciens	Inf	Inf-Inf	17573.1005456934	0.000300346491062968	4802.0768666943
506	sexmale	52363.3931	0-1499678765034104	10.8659630207254	0.377156266900253	12.2847266850585
507	BMI	0.3365	0.003-37.2468	-1.08910576117005	0.650502882905107	2.40136337446108
508	hypertensionyes	2e-04	0-380412.7228	-8.52277721251892	0.435077087238433	10.9039741159853
509	s_Ruminococcus_bromii	Inf	Inf-Inf	444989.535737545	0.00312628120745755	149319.691638768
510	sexmale	1354.681	0-49347719984867.5	7.21132131020311	0.561552451464484	12.4074445763383
511	BMI	0.1449	0.0013-16.5567	-1.93159477617573	0.424951883745486	2.41754315753649
512	hypertensionyes	4e-04	0-878420.9494	-7.83779499225602	0.475970581240931	10.9814674445019
513	s_Rothia_mucilaginosa	Inf	0-Inf	470438.77922809	0.307427034545991	460113.109386578
514	sexmale	3499.7187	0-207412734258885	8.16043786331252	0.519568181727429	12.6557622173669
515	BMI	0.229	0.0019-27.9508	-1.47417361109624	0.548061352854751	2.45133647077709
516	hypertensionyes	0.0016	0-4704285.6921	-6.44591893468266	0.562852736162287	11.1275017526813
517	s_Rothia_dentocariosa	Inf	0-Inf	47725.5523138113	0.355510894333558	51570.8431649646
518	sexmale	23890.3086	0-1142164952819917	10.0812281575567	0.422328300463926	12.5461600919418
519	BMI	0.2517	0.002-31.3346	-1.37948408710457	0.575597978586504	2.46133003823923
520	hypertensionyes	0.0014	0-4038790.8399	-6.59963741267885	0.553604734628095	11.1281088371255
521	s_Rhodococcus_hoagii	Inf	Inf-Inf	88872.593399292	0.0424423432033552	43603.9315673669
522	sexmale	34832.4551	0-1453887896149957	10.4583048475564	0.402603356819873	12.4768942975427
523	BMI	0.2617	0.0022-31.1406	-1.34043002508948	0.582912593375523	2.43823537165602
524	hypertensionyes	0.0022	0-5767531.4142	-6.12616332586007	0.580358595196127	11.0683255314462
525	s_Rhodococcus_erythropolis	0	0-Inf	-38743.7689178334	0.196638555547445	29937.0648880788
526	sexmale	40699.4619	0-1918905545474606	10.6139701497527	0.397989609183076	12.5390618572812
527	BMI	0.1259	0.001-15.9592	-2.07228315678527	0.40228177793428	2.47056973288374
528	hypertensionyes	0.0021	0-6034590.1032	-6.18259638379899	0.578655867086749	11.1202116704456
529	s_Raoultibacter_massiliensis	0	0-Inf	-82773.1844814693	0.32565575716538	84069.8473884405
530	sexmale	17730.1547	0-842107898435528	9.78302212446451	0.436046521643651	12.5428097667892
531	BMI	0.1693	0.0014-20.7581	-1.77592613404111	0.469753363388162	2.45350037671202
532	hypertensionyes	0.0013	0-3903880.7791	-6.62818308468427	0.551792787201069	11.1253391696957
533	s_Raoultella_ornithinolytica	0	0-Inf	-11181.8785265698	0.229784245503224	9291.46205907198
534	sexmale	6718.4659	0-332986502783208	8.81261511396248	0.483625595556702	12.5645448770115
535	BMI	0.2099	0.0017-25.3636	-1.56135114373075	0.523809166893456	2.44625775058709
536	hypertensionyes	0.0019	0-5595612.366	-6.26402963581687	0.57377031011046	11.1232260093595
537	s_Pyramidobacter_piscolens	3.46596829392446e+296	0-Inf	682.808179569747	0.29958376787702	657.056375459616
538	sexmale	41026.1195	0-2011186437664066	10.621964203523	0.398381520038905	12.558947452456
539	BMI	0.2144	0.0018-26.0182	-1.54013813575481	0.529826692664578	2.44843586455378
540	hypertensionyes	8e-04	0-2485199.7761	-7.08154322283541	0.524971975807171	11.1262279744535
541	s_Pygmaiobacter_massiliensis	Inf	0-Inf	38384.3834706128	0.768424941643964	130243.393938992
542	sexmale	21394.626	0-1058243409359386	9.97089505025817	0.428056816125081	12.5635161822371
543	BMI	0.2111	0.0017-26.1823	-1.55532470635704	0.527624061454625	2.45939144678351
544	hypertensionyes	0.0012	0-3775728.179	-6.6984764563788	0.548261634434031	11.1441736089534
545	s_Pusillimonas_noertemannii	Inf	Inf-Inf	536814.360875707	0.0067244435877005	196643.322183991
546	sexmale	69637.4173	0-2563295190324437	11.1510573069435	0.36974454208168	12.412761582892
547	BMI	0.1845	0.0016-21.2324	-1.68993472304607	0.485746279021113	2.42115364128913
548	hypertensionyes	1e-04	0-321885.8791	-8.93807602777309	0.418436621776109	11.0306267228884
549	s_Psychrobacter_pulmonis	0	0-Inf	-303.625823195909	0.681165582384181	738.23016132714
550	sexmale	16295.7533	0-815253664522504	9.69865981752127	0.44097357589359	12.5693166367522
551	BMI	0.203	0.0017-24.8016	-1.59441766187	0.515994185963386	2.45169653539572
552	hypertensionyes	9e-04	0-2767383.9191	-7.03679746510579	0.528777490537008	11.1582706446209
553	s_Pseudomonas_stutzeri	0	0-Inf	-112310.803710081	0.517654316081029	173383.30489609
554	sexmale	14841.7175	0-732662203811719	9.60519724597765	0.44513806118499	12.5625044004995
555	BMI	0.1898	0.0016-23.176	-1.66159360888461	0.498428729164892	2.4513822879852
556	hypertensionyes	8e-04	0-2450509.2442	-7.14114811475127	0.522360060029536	11.1494665971639
557	s_Pseudomonas_psychrophila	Inf	0-Inf	4518532.59209948	0.0786181402777751	2560059.99200612
558	sexmale	32329.74	0-1409317792080012	10.3837428291667	0.406793595033026	12.4990506722672
559	BMI	0.2528	0.0021-30.3342	-1.37523428567876	0.573858491352006	2.44260738471505
560	hypertensionyes	0.002	0-5494002.7957	-6.21324736562374	0.57566838599936	11.0879668470003
561	s_Pseudomonas_otitidis	Inf	0-Inf	47214.8556079337	0.609181516821164	92252.4685755972
562	sexmale	23601.9449	0-1163468879582419	10.0690844000612	0.423463302105087	12.561784668882
563	BMI	0.2056	0.0017-25.1116	-1.58188504732101	0.519286579572416	2.45164034694221
564	hypertensionyes	0.0014	0-4318334.5865	-6.56631661100096	0.556215454381645	11.1452535635194
565	s_Pseudomonas_oryzihabitans	0	0-Inf	-761891.607969521	0.614554810008424	1511302.76969716
566	sexmale	36979.6224	0-2031319742964888	10.5181222931571	0.405168867932388	12.6170101037031
567	BMI	0.2117	0.0017-25.9742	-1.55244776958553	0.527457776962594	2.45385307722719
568	hypertensionyes	0.0016	0-4928500.2258	-6.45503631251309	0.563295999621775	11.1559089787858
569	s_Pseudoglutamicibacter_albus	Inf	0-Inf	3192.54830076604	0.960716519315046	64761.2773506737
570	sexmale	19190.2866	0-998716809090196	9.86215952117947	0.434053334074665	12.5894555402179
571	BMI	0.1994	0.0016-24.372	-1.61249339207638	0.511304132237205	2.45200439588599
572	hypertensionyes	0.0012	0-3614290.4459	-6.7532519756404	0.545201107564976	11.1498255558237
573	s_Provencibacterium_massiliense	Inf	Inf-Inf	241617.367562439	0.00126792994830762	74225.4600491538
574	sexmale	238617.9342	0-7960526964652019	12.3826189502737	0.317364521020524	12.3625778795365
575	BMI	0.1871	0.0017-20.9988	-1.67586439723073	0.487074798761575	2.40833051104527
576	hypertensionyes	0.0063	0-13389363.1084	-5.06525151799741	0.644217465453984	10.9567462601083
577	s_Proteus_mirabilis	Inf	0-Inf	5036.97884414005	0.413847813846536	6155.25623169351
578	sexmale	11318.7199	0-564684703093363	9.33421326013727	0.458264792179172	12.5678956038514
579	BMI	0.1864	0.0015-22.7186	-1.67987250351009	0.493570616176679	2.45053824794314
580	hypertensionyes	0.0028	0-9320912.5393	-5.8733330850615	0.599885836987823	11.1842368259549
