	Characteristics	OR	CI	Beta	P	SE
279	BMI	1.004	0.9992-1.0089	0.00403834728197811	0.102855781871479	0.0024679060876401
280	hypertensionyes	0.9871	0.9657-1.0091	-0.0129609151221572	0.248648371591506	0.0112121602775865
281	g_Lachnoclostridium	0.9588	0.5715-1.6084	-0.0420927017905843	0.8734076601105	0.263948845668619
282	sexmale	0.9856	0.9616-1.0103	-0.0144652464283421	0.25249203078664	0.0126156840955609
283	BMI	1.004	0.9991-1.0088	0.0039449504275852	0.110970627540058	0.00246753415003961
284	hypertensionyes	0.9874	0.966-1.0093	-0.0126403904910608	0.259600631840731	0.0111905975454588
285	g_Agathobacter	2.0031	1.2336-3.2526	0.694700656447077	0.00531001447717213	0.247321302127751
286	sexmale	0.9874	0.9636-1.0119	-0.0126439041012975	0.311223091983441	0.0124639693580648
287	BMI	1.0037	0.9989-1.0085	0.00368555393096121	0.130655466834865	0.0024313776964125
288	hypertensionyes	0.9881	0.9669-1.0097	-0.0120155032191677	0.277433446052349	0.0110420910754654
289	g_Ruminococcaceae_UCG_005	2.0575	1.0664-3.9694	0.721467645456691	0.0322391871643519	0.335281231253044
290	sexmale	0.9852	0.9613-1.0097	-0.014887623226578	0.235259157935466	0.0125169344373875
291	BMI	1.004	0.9992-1.0088	0.00398661559002307	0.103758637741197	0.00244270841626084
292	hypertensionyes	0.9876	0.9664-1.0093	-0.0124634661588535	0.262488694249419	0.0111011445953973
293	g_Collinsella	1.2675	0.6645-2.4178	0.237059316009539	0.472418898801111	0.329481262758
294	sexmale	0.9861	0.962-1.0108	-0.0140119380256166	0.267851268214045	0.0126215043423651
295	BMI	1.0039	0.999-1.0087	0.0038599296253934	0.118442917932385	0.00246483388166035
296	hypertensionyes	0.9874	0.966-1.0093	-0.0126741367851517	0.257853261830809	0.01117928711887
297	g_Lachnospiraceae_NK4A136_group	4.3267	2.2675-8.256	1.4648063017481	1.26283013600052e-05	0.329657973479983
298	sexmale	0.9883	0.9649-1.0123	-0.0117303710733135	0.33793734402359	0.0122211548200625
299	BMI	1.0033	0.9986-1.008	0.00331590389790945	0.165806677108968	0.00238671972177023
300	hypertensionyes	0.9858	0.965-1.0069	-0.014349035505955	0.186328240665618	0.0108321857962944
301	g_Ruminococcus_gnavus_group	0.4423	0.2383-0.8209	-0.815682953883554	0.0102179486128426	0.315502227851256
302	sexmale	0.9861	0.9623-1.0105	-0.0139565351813056	0.264122287198523	0.0124737138543037
303	BMI	1.0038	0.999-1.0086	0.00379752583734162	0.119977593096125	0.00243512585539825
304	hypertensionyes	0.989	0.9677-1.0107	-0.0110773315481587	0.318232623758937	0.0110792938312289
305	g_Desulfovibrio	5.1004	1.5021-17.3187	1.62932448123521	0.00946297380592233	0.623706049254047
306	sexmale	0.9825	0.9587-1.007	-0.0176066876656572	0.160916281384185	0.0125260776692751
307	BMI	1.004	0.9992-1.0088	0.00397640154961926	0.103359783006371	0.00243362400338767
308	hypertensionyes	0.9864	0.9652-1.008	-0.0137120756921163	0.216333828008118	0.0110666403590423
309	g_Dorea	7.6354	2.0451-28.5075	2.03279977548107	0.0027147957369811	0.672126577891321
310	sexmale	0.9865	0.9628-1.0109	-0.0135550038594785	0.276175454435594	0.0124242246168436
311	BMI	1.0041	0.9993-1.0089	0.00406269208129799	0.0948566199239214	0.00242431336972508
312	hypertensionyes	0.9869	0.9658-1.0084	-0.0131925445750639	0.232131771022842	0.0110176560896107
313	g_Eubacterium_hallii_group	9.123	2.6975-30.8535	2.21079470019422	0.000439377538803968	0.62166115964284
314	sexmale	0.9876	0.964-1.0118	-0.0124492014207102	0.314729050266985	0.0123614319047968
315	BMI	1.0038	0.9991-1.0086	0.00381383660967399	0.114691884538392	0.00241042582926978
316	hypertensionyes	0.9834	0.9624-1.0048	-0.0167581767662406	0.129160854473113	0.0110123146409796
317	g_Intestinibacter	2.3649	1.0618-5.2671	0.860738671402973	0.0359905853000304	0.408539090634383
318	sexmale	0.9862	0.9623-1.0107	-0.0139216985330209	0.267177209961666	0.0125225266832701
319	BMI	1.0037	0.9989-1.0086	0.00372767929722892	0.128639673409182	0.00244622449335455
320	hypertensionyes	0.9878	0.9665-1.0095	-0.0123166381066027	0.268332777308253	0.0111056245527867
321	g_Paeniclostridium	1.2055	0.7976-1.8218	0.18685725854458	0.37591114376199	0.210703925099135
322	sexmale	0.985	0.9609-1.0096	-0.015154274567154	0.230831032669583	0.0126206635091981
323	BMI	1.004	0.9991-1.0088	0.00396726834921808	0.107734717074694	0.00245884893142186
324	hypertensionyes	0.9876	0.9662-1.0095	-0.0124542848559305	0.266077506899543	0.0111768063658492
325	g_Lachnospira	2.5911	1.0214-6.5729	0.95206513551938	0.0459389486364536	0.474941291145248
326	sexmale	0.9866	0.9627-1.0111	-0.0134898856764776	0.282880043915685	0.0125385132239955
327	BMI	1.003	0.9981-1.0079	0.00301720877174733	0.22681336323678	0.00249111798841489
328	hypertensionyes	0.9871	0.9658-1.0089	-0.0129699109950404	0.2441472332675	0.0111132972732522
329	g_Ruminococcus_1	13.7607	4.2249-44.8186	2.62181418758128	1.87450416711041e-05	0.602453468308759
330	sexmale	0.9929	0.9692-1.0172	-0.00709607384916538	0.565669531650698	0.0123388015719701
331	BMI	1.0044	0.9997-1.0091	0.00440981374189819	0.0657519571124862	0.00238740117200566
332	hypertensionyes	0.988	0.9672-1.0092	-0.0121163905669041	0.264624997746624	0.0108405035498207
333	g_Eubacterium_eligens_group	3.1092	1.4623-6.6109	1.13437045943214	0.00346568020385353	0.384869339604701
334	sexmale	0.9879	0.9641-1.0124	-0.012131017684324	0.330903641091193	0.0124556838497947
335	BMI	1.0036	0.9988-1.0084	0.00357097371378177	0.142740896415726	0.00242979137862793
336	hypertensionyes	0.9875	0.9664-1.0091	-0.0125803206650605	0.254778705466234	0.0110248642058281
337	s_Zantedeschia_aethiopica	1.19271960307057e+246	0-Inf	566.61216895688	0.682085275419234	1381.86852775794
338	sexmale	0.9857	0.9616-1.0104	-0.0144084169210082	0.254265020672186	0.0126132526527615
339	BMI	1.0041	0.9992-1.009	0.00407504494703339	0.100681836391322	0.00247449238704378
340	hypertensionyes	0.9875	0.9661-1.0094	-0.0125953418908982	0.261172067680142	0.0111876181462282
341	s_Xenorhabdus_nematophila	0	0-Inf	-17.3845712298447	0.992493314718142	1846.1785890098
342	sexmale	0.9856	0.9615-1.0103	-0.0144920617262847	0.251862027617581	0.012622255438111
343	BMI	1.004	0.9991-1.0088	0.00397170942461954	0.107939681882733	0.00246304092590819
344	hypertensionyes	0.9874	0.966-1.0093	-0.0126775099284858	0.258719998003321	0.0112026835121049
345	s_Weissella_viridescens	1.03759138440555e+144	0-Inf	331.609155441741	0.278418983979092	305.371403088838
346	sexmale	0.986	0.962-1.0107	-0.0140773822297323	0.26464187583348	0.0125954436828713
347	BMI	1.0041	0.9993-1.0089	0.00407402981247634	0.0986496210924712	0.00245900803916135
348	hypertensionyes	0.9864	0.965-1.0083	-0.0136997159747509	0.222524152160773	0.0112065422368291
349	s_Weissella_paramesenteroides	5.51994242922784e+34	0-8.43647428980208e+91	79.9962605925445	0.234714633966379	67.1793608944232
350	sexmale	0.9865	0.9624-1.0112	-0.0136115331194007	0.281150393224233	0.0126060999141956
351	BMI	1.0039	0.999-1.0087	0.00385093903386473	0.118316119061481	0.00245824225615799
352	hypertensionyes	0.987	0.9657-1.0089	-0.0130553692215142	0.243307920114084	0.0111665788276911
353	s_Weissella_ghanensis	0	0-3.13791131294927e+158	-110.515050850346	0.649039844246853	242.585231089302
354	sexmale	0.9854	0.9614-1.0101	-0.0146808859314192	0.245591021939852	0.0126179884233978
355	BMI	1.004	0.9992-1.0089	0.00400570021235702	0.104891520920622	0.00246247642247257
356	hypertensionyes	0.9872	0.9657-1.0091	-0.0129275357367458	0.249323913034889	0.011199295562357
357	s_Weeksella_virosa	2.54469917029985e+52	0-Inf	120.668437274502	0.803103746427774	483.521806360595
358	sexmale	0.9857	0.9616-1.0104	-0.0143982759696387	0.254822221834225	0.012619202217883
359	BMI	1.004	0.9992-1.0089	0.00400161013019638	0.105594242485133	0.00246495701880673
360	hypertensionyes	0.9872	0.9657-1.0091	-0.0129167596071245	0.251048522208855	0.0112308704816711
361	s_Veillonella_magna	0	0-2210.7952	-23.4565584157153	0.141151996840313	15.896768359513
362	sexmale	0.9847	0.9608-1.0093	-0.0153757773982463	0.222706557053747	0.0125825554444482
363	BMI	1.0041	0.9993-1.0089	0.00406653590630556	0.0985585564018531	0.00245381833536558
364	hypertensionyes	0.9871	0.9658-1.009	-0.0129366762378206	0.246858842720002	0.0111488218143543
365	s_Vagococcus_teuberi	1.78961632508404e+28	0-2.09010041077124e+122	65.0543838571826	0.556537131533415	110.50929061038
366	sexmale	0.9857	0.9617-1.0104	-0.0143573827684202	0.255818266490643	0.0126098215108031
367	BMI	1.0041	0.9993-1.009	0.00409645247588384	0.0982927490034344	0.00246990993436118
368	hypertensionyes	0.9875	0.9661-1.0094	-0.0125351540344153	0.263342142087645	0.0111850206890278
369	s_Trichuris_trichiura	0	0-0	-1421.55085309549	0.0417560979389698	695.119994208398
370	sexmale	0.9871	0.9632-1.0117	-0.0129396565945431	0.303302798279989	0.0125479865421968
371	BMI	1.0038	0.999-1.0086	0.00379024057069891	0.122364698184977	0.00244616321258111
372	hypertensionyes	0.9894	0.968-1.0113	-0.0106387736727402	0.340961408514433	0.0111536170044775
373	s_Treponema_succinifaciens	1303901854.8179	0-1.87382929461464e+45	20.9886270329082	0.621601790955419	42.4773909387943
374	sexmale	0.9854	0.9613-1.01	-0.0147579438608667	0.243273611162307	0.0126219118366145
375	BMI	1.004	0.9992-1.0089	0.00403015417956645	0.103015770106107	0.00246404938882163
376	hypertensionyes	0.9873	0.9658-1.0091	-0.0128288233028952	0.252515522229355	0.0111890534023015
377	s_Treponema_refringens	8.13300769514509e+253	0-Inf	584.649959332841	0.675686612852938	1396.07273237275
378	sexmale	0.9858	0.9617-1.0105	-0.0143216612779992	0.25730284683805	0.0126178600290417
379	BMI	1.004	0.9991-1.0088	0.00395450120181798	0.109284453088176	0.00246176082050097
380	hypertensionyes	0.9876	0.9662-1.0095	-0.0124551309549863	0.266945711730989	0.0111979211298336
381	s_Treponema_porcinum	2.73347883006327e+28	0-1.09467107328716e+81	65.4779576985296	0.29022622671603	61.7968820216523
382	sexmale	0.9841	0.9599-1.0088	-0.0160346073330444	0.206880372289251	0.0126752986546846
383	BMI	1.0041	0.9993-1.009	0.00408884679352977	0.0975610535508297	0.00245993133366345
384	hypertensionyes	0.9879	0.9664-1.0097	-0.0122228057955753	0.274998760230036	0.0111756807988616
385	s_Traorella_massiliensis	8.60307106748121e+50	0-Inf	117.281373890086	0.815663117077762	502.621569167991
386	sexmale	0.9854	0.9613-1.0101	-0.0147017364082518	0.246019258006431	0.0126474004845156
387	BMI	1.004	0.9991-1.0088	0.00397410793477155	0.107578569020275	0.00246199035827735
388	hypertensionyes	0.9875	0.9661-1.0094	-0.0125928462567156	0.261513444891605	0.0111934282719973
389	s_Thioalkalimicrobium_cyclicum	27.5566	0-Inf	3.31624052316725	0.996339165717197	722.152294281004
390	sexmale	0.9856	0.9614-1.0104	-0.0144937865432896	0.253779144536504	0.0126749810741101
391	BMI	1.004	0.9991-1.0088	0.00397054650063068	0.108339820744878	0.00246512771701538
392	hypertensionyes	0.9874	0.966-1.0093	-0.0126752590189591	0.258994510832669	0.011207166674861
393	s_Tetragenococcus_halophilus	0	0-Inf	-606.797991676753	0.819380934227174	2654.99921860079
394	sexmale	0.9855	0.9614-1.0102	-0.0146004099490272	0.24840146640479	0.0126238410037699
395	BMI	1.004	0.9992-1.0089	0.0039861093588497	0.106645699295979	0.0024628418538768
396	hypertensionyes	0.9876	0.9661-1.0095	-0.0124975323017224	0.266025751146032	0.0112144010985052
397	s_Synergistes_jonesii	3e-04	0-240.0898	-8.15457698391333	0.242101771631672	6.95693364646475
398	sexmale	0.9863	0.9623-1.011	-0.013761010173566	0.275710740058979	0.0126008198192987
399	BMI	1.004	0.9992-1.0088	0.00399219503382322	0.105208454514854	0.002456422455293
400	hypertensionyes	0.9864	0.965-1.0083	-0.0137149524790622	0.221667112314609	0.0111981732093173
401	s_Sutturella_timonensis	8.6184	0.0062-11955.7962	2.15390265678926	0.560013094524028	3.69136164219142
402	sexmale	0.986	0.9619-1.0107	-0.0140925085442626	0.265293317086374	0.0126262165026813
403	BMI	1.0039	0.9991-1.0088	0.00390411425899427	0.114096801778833	0.00246341577680497
404	hypertensionyes	0.9871	0.9657-1.009	-0.0130006528568054	0.246559922086911	0.0111968547573221
405	s_Succinispira_mobilis	29.7804	0-2.13385215475681e+55	3.39385084620998	0.95725742943012	63.2684990500687
406	sexmale	0.9856	0.9616-1.0103	-0.0144711122663042	0.252437905171645	0.012619356743942
407	BMI	1.004	0.9991-1.0088	0.00397512151599855	0.107678053104831	0.00246331781167412
408	hypertensionyes	0.9874	0.966-1.0093	-0.0126515048468699	0.259411729780321	0.0111959873315055
409	s_Streptococcus_urinalis	33.5776	0-661786064.884	3.51385894483916	0.682085275419234	8.56969079183945
410	sexmale	0.9857	0.9616-1.0104	-0.0144084169210082	0.254265020672186	0.0126132526527615
411	BMI	1.0041	0.9992-1.009	0.00407504494703339	0.100681836391322	0.00247449238704378
412	hypertensionyes	0.9875	0.9661-1.0094	-0.0125953418908982	0.261172067680142	0.0111876181462282
413	s_Streptococcus_thermophilus	2.64058879263242e+45	0-1.29982771712195e+143	104.587331104536	0.362898722783547	114.767637206126
414	sexmale	0.9854	0.9614-1.0101	-0.0146581328604661	0.245601612067778	0.0125987157742398
415	BMI	1.0041	0.9992-1.0089	0.00406482090151768	0.0996566404165847	0.00246080849329489
416	hypertensionyes	0.9882	0.9667-1.0102	-0.0118626388124886	0.290775849323928	0.0112085263920522
417	s_Streptococcus_sobrinus	93980.9043	0-3.73361426364348e+23	11.4508468946181	0.600634052917225	21.8499933572638
418	sexmale	0.9858	0.9617-1.0105	-0.014320797005418	0.257166460001893	0.0126134743997613
419	BMI	1.0041	0.9992-1.009	0.00409296251383356	0.0988594464070658	0.00247198069616455
420	hypertensionyes	0.9872	0.9658-1.0091	-0.0129015681978641	0.249988362131891	0.0111925308790316
421	s_Streptococcus_parauberis	0	0-3.0793531212646e+185	-171.728169135089	0.574501496319758	305.526087187934
422	sexmale	0.9865	0.9622-1.0113	-0.0136292287881669	0.284121355792071	0.012700797446323
423	BMI	1.0039	0.999-1.0087	0.00385763699131949	0.119297611069932	0.00246910936830501
424	hypertensionyes	0.9872	0.9658-1.0091	-0.0128539894999267	0.25153739566952	0.0111878518716377
425	s_Streptococcus_mutans	9.23824269794836e+190	0-Inf	439.71451935223	0.742432979430821	1336.72816996286
426	sexmale	0.9858	0.9617-1.0104	-0.0143420853366999	0.256739762057918	0.012620874130004
427	BMI	1.004	0.9991-1.0088	0.003971575512643	0.107764567157436	0.0024617281055543
428	hypertensionyes	0.9871	0.9657-1.0091	-0.0129489551294262	0.249362046204586	0.0112187572114654
429	s_Streptococcus_equinus	0.9196	0.3636-2.3257	-0.0838052327557815	0.85960570771965	0.47338502161219
430	sexmale	0.9855	0.9613-1.0102	-0.0146565574932641	0.247587800054687	0.0126505540157002
431	BMI	1.004	0.9991-1.0088	0.00396795909510817	0.108139809614785	0.00246211888701917
432	hypertensionyes	0.9876	0.9661-1.0095	-0.0125107390219581	0.266009474254088	0.0112258688536217
433	s_Streptococcus_dentirousetti	1.7636	0.0026-1204.3596	0.567350682327355	0.864824810070158	3.32977170379543
434	sexmale	0.9857	0.9616-1.0104	-0.0144335521016642	0.253649718621152	0.0126188571289967
435	BMI	1.004	0.9992-1.0089	0.00400526700598685	0.106017487267935	0.00247021775744603
436	hypertensionyes	0.9872	0.9657-1.0092	-0.012855814786682	0.253689218859874	0.011240422132351
437	s_Streptococcus_anginosus	1.5477	0.7176-3.3378	0.436742637369753	0.266305160787433	0.392131518413067
438	sexmale	0.9839	0.9597-1.0086	-0.0162807776600984	0.20056581776848	0.0126909108420901
439	BMI	1.0044	0.9995-1.0092	0.0043441366258262	0.0808484929000179	0.00247964561250927
440	hypertensionyes	0.9873	0.9659-1.0092	-0.012761248147182	0.254024734317863	0.011165643186795
441	s_Streptococcus_agalactiae	0	0-44625240466586344	-15.29065692469	0.576699032137251	27.361088238925
442	sexmale	0.9858	0.9617-1.0104	-0.0143329256111419	0.256696713227639	0.0126116696642733
443	BMI	1.004	0.9992-1.0089	0.00401970196298784	0.10367682125882	0.00246239551403809
444	hypertensionyes	0.9871	0.9656-1.009	-0.013033143246654	0.2455949459614	0.0112018730610749
445	s_Stenotrophomonas_ginsengisoli	Inf	0-Inf	768.109690901136	0.638271887394314	1632.14612755734
446	sexmale	0.9858	0.9617-1.0105	-0.0142828376491387	0.258602434863384	0.0126181345039506
447	BMI	1.0039	0.9991-1.0088	0.00392653009294147	0.11199255737911	0.00246306692769124
448	hypertensionyes	0.9877	0.9662-1.0096	-0.0123986573282721	0.269209648148222	0.0112001192479116
449	s_Staphylococcus_sciuri	27944.0609	0-4.35371297189695e+22	10.2379599665438	0.632281857030978	21.3724189373017
450	sexmale	0.9858	0.9617-1.0105	-0.014277035539	0.25879476607207	0.012618115067221
451	BMI	1.0039	0.9991-1.0088	0.00392650089573442	0.111981431258433	0.00246297186578051
452	hypertensionyes	0.9877	0.9662-1.0096	-0.0123912197902676	0.269501612820704	0.0112002420478765
453	s_Staphylococcus_aureus	0.1886	0-6204104.8933	-1.66817884338254	0.850304720163614	8.83107171116725
454	sexmale	0.9857	0.9616-1.0104	-0.0143754963569017	0.255931029222133	0.0126287320962046
455	BMI	1.0039	0.9991-1.0088	0.00392829115426644	0.113192344793449	0.00247244408798501
456	hypertensionyes	0.9874	0.966-1.0093	-0.0126465676203005	0.259319071961701	0.0111894367761129
457	s_Sporosarcina_pasteurii	19.7428	0.0016-251000.6853	2.98279074602902	0.53665044725307	4.82164296037896
458	sexmale	0.9859	0.9618-1.0105	-0.0142359144605205	0.25999833719925	0.0126136688495396
459	BMI	1.0039	0.9991-1.0088	0.00393944915785455	0.110537740558688	0.00246109172168557
460	hypertensionyes	0.9877	0.9663-1.0096	-0.0123460355031863	0.270995483479896	0.0111943284710387
461	s_Sneathia_sanguinegens	69525245668.3159	0-7.72775163758018e+102	24.9649557705851	0.817579489978452	108.134460037351
462	sexmale	0.9857	0.9617-1.0105	-0.014353582441001	0.256616746346453	0.0126277178305247
463	BMI	1.004	0.9991-1.0088	0.00396980713298732	0.107954871475379	0.00246196783401567
464	hypertensionyes	0.9873	0.9659-1.0092	-0.0127471886541442	0.255705540856333	0.0111929576226265
465	s_Sneathia_amnii	0.1054	0-131193.2336	-2.24961563427982	0.753609317903066	7.16022562006384
466	sexmale	0.9855	0.9614-1.0102	-0.0146246639044282	0.247502732424046	0.0126207493651721
467	BMI	1.004	0.9991-1.0088	0.00396279172447921	0.108567954476913	0.00246191010874093
468	hypertensionyes	0.9877	0.9662-1.0096	-0.0124024977148366	0.269922273425636	0.0112203076932921
469	s_Slackia_piriformis	3.83236763195528e+139	0-Inf	321.402810719037	0.767373619374667	1085.48843001395
470	sexmale	0.9853	0.9611-1.01	-0.014851157178153	0.242211040910914	0.0126729503533094
471	BMI	1.0039	0.9991-1.0088	0.00390207143881506	0.115664431214642	0.00247282904575548
472	hypertensionyes	0.9876	0.9662-1.0096	-0.0124299673607723	0.268745881498109	0.0112175082662367
473	s_Serratia_marcescens	3.00487471964132e+73	0-3.09404116538354e+221	169.188947665048	0.331366365903657	173.883589767146
474	sexmale	0.9853	0.9613-1.01	-0.0147917823833479	0.241331761889583	0.0125986741075213
475	BMI	1.0038	0.999-1.0087	0.00383620872718148	0.120298630363264	0.00246207160484868
476	hypertensionyes	0.9882	0.9668-1.0102	-0.0118449140338692	0.291272753057925	0.0112033340506158
477	s_Sedimentibacter_hongkongensis	0	0-1.06919224532342e+77	-41.228365239886	0.711899687617429	111.527714720867
478	sexmale	0.9854	0.9613-1.0101	-0.0147534279936683	0.243824486379499	0.0126328382759181
479	BMI	1.004	0.9992-1.0088	0.00398246086963715	0.106817316371302	0.00246179843645675
480	hypertensionyes	0.9874	0.966-1.0093	-0.0127044111162485	0.257047348301608	0.0111869863762469
481	s_Scardovia_wiggsiae	0	0-8703198897484273	-35.4351152133776	0.336461395554185	36.8048889059866
482	sexmale	0.9854	0.9613-1.01	-0.014747977352132	0.242704594527721	0.0125981293264936
483	BMI	1.0038	0.9989-1.0086	0.00377747526950487	0.126730848133618	0.0024664618992033
484	hypertensionyes	0.9873	0.9659-1.0092	-0.0127718959709554	0.253893800927488	0.0111718717471266
485	s_Savagea_faecisuis	3.38114745600648e+49	0-2.21229969358677e+119	114.044884692617	0.165455087039547	82.0187622109713
486	sexmale	0.9865	0.9624-1.0111	-0.013614700958888	0.280391429862972	0.0125891152091745
487	BMI	1.0038	0.999-1.0087	0.00380923167528236	0.122112411717965	0.0024567531481754
488	hypertensionyes	0.9886	0.9671-1.0105	-0.0115146828285779	0.304034628701012	0.0111830885624062
489	s_Salinisphaera_halophila	0	0-9.04388414906871e+182	-68.6386264718901	0.783816480849773	249.954694970122
490	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
491	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
492	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
493	s_Ruminococcus_torques	0	0-4.19418515943475e+295	-242.875144947592	0.606647484752662	471.20992166377
494	sexmale	0.9853	0.9612-1.01	-0.0148320384397785	0.241120053278896	0.0126272655715158
495	BMI	1.004	0.9991-1.0088	0.00396572654516078	0.108189185500673	0.00246107964990812
496	hypertensionyes	0.9878	0.9663-1.0097	-0.0123237063229169	0.272299751529703	0.011204591834505
497	s_Ruminococcus_gnavus	0	0-0	-1959.23038901763	0.0393040324601718	946.31116454045
498	sexmale	0.9857	0.9618-1.0102	-0.0143601498782888	0.252454977656725	0.0125230450550784
499	BMI	1.0038	0.999-1.0086	0.00380823340430329	0.120491721685096	0.00244539489946898
500	hypertensionyes	0.9882	0.9669-1.01	-0.0118419665347387	0.2875592214638	0.0111144647822969
501	s_Ruminococcus_gauvreauii	68802279888254.3	0-8.88872032695737e+118	31.8622579982295	0.796568509902245	123.483452076025
502	sexmale	0.9857	0.9616-1.0104	-0.0143720170055307	0.255792761685401	0.0126219957811903
503	BMI	1.004	0.9992-1.0089	0.00400693079172694	0.105254656527743	0.0024658183058541
504	hypertensionyes	0.9874	0.966-1.0093	-0.0126866348559589	0.25776124137693	0.0111881430300458
505	s_Ruminococcus_flavefaciens	33783.7147	2.3051-495137012.8177	10.427734152183	0.0339633656593036	4.89418924674536
506	sexmale	0.9862	0.9623-1.0107	-0.0139162782232213	0.267280865756173	0.0125203696047056
507	BMI	1.0043	0.9995-1.0091	0.00428187857901185	0.0812585011039401	0.00244742579743544
508	hypertensionyes	0.9864	0.9651-1.0081	-0.0137109379227909	0.218294749724625	0.0111131317441784
509	s_Ruminococcus_bromii	4115651340473.54	0-1.52721336808854e+142	29.0458182219726	0.848801474095909	152.216688637707
510	sexmale	0.9854	0.9613-1.0102	-0.0146637941957388	0.247265900610382	0.0126481652027183
511	BMI	1.004	0.9991-1.0088	0.00395029303248674	0.110046252758194	0.00246444665161235
512	hypertensionyes	0.9873	0.9659-1.0092	-0.0127418869631438	0.255969165732658	0.0111945222524882
513	s_Rothia_mucilaginosa	26591.5748	0-Inf	10.1883497092257	0.98245373375375	462.858573464688
514	sexmale	0.9856	0.9613-1.0105	-0.0145258726923007	0.254831359696243	0.0127312783020861
515	BMI	1.004	0.9991-1.0088	0.00397410225264638	0.108144467306204	0.00246596343116266
516	hypertensionyes	0.9874	0.966-1.0093	-0.0126652802900064	0.25880584808218	0.0111938988096611
517	s_Rothia_dentocariosa	1708438117.6925	0-2.31920189745602e+53	21.2588454086076	0.682085275419234	51.8466263453331
518	sexmale	0.9857	0.9616-1.0104	-0.0144084169210082	0.254265020672186	0.0126132526527615
519	BMI	1.0041	0.9992-1.009	0.00407504494703339	0.100681836391322	0.00247449238704378
520	hypertensionyes	0.9875	0.9661-1.0094	-0.0125953418908982	0.261172067680142	0.0111876181462282
521	s_Rhodococcus_hoagii	62.7015	0-2.15868977999453e+39	4.13838609175804	0.925297019503373	44.0979255047571
522	sexmale	0.9856	0.9616-1.0103	-0.0144622566097061	0.252686010127869	0.0126182464627924
523	BMI	1.004	0.9992-1.0089	0.00398378400432362	0.107276931357248	0.00246585841958388
524	hypertensionyes	0.9874	0.966-1.0093	-0.0126422555137987	0.259663120608411	0.011193719859734
525	s_Rhodococcus_erythropolis	0	0-0	-87.7013983114173	0.00341037145269605	29.7037177795318
526	sexmale	0.9872	0.9634-1.0116	-0.0128770332475369	0.301524370050882	0.0124413250270599
527	BMI	1.0029	0.9981-1.0078	0.00293109103545719	0.23278482965527	0.00245131265789033
528	hypertensionyes	0.9887	0.9676-1.0103	-0.0113369717778802	0.305043638293088	0.0110335341938983
529	s_Raoultibacter_massiliensis	0	0-8.86040488989434e+43	-64.3794909076684	0.446617526407642	84.4756338615403
530	sexmale	0.9855	0.9615-1.0102	-0.0145808669396666	0.248266951528619	0.0126033511225325
531	BMI	1.0039	0.999-1.0087	0.00384425345349236	0.120015509115706	0.00246534287786484
532	hypertensionyes	0.9875	0.9661-1.0094	-0.012560085690245	0.262141084446673	0.0111790387098275
533	s_Raoultella_ornithinolytica	87310346.3811	1.0767-7079858623312532	18.2849795290344	0.0500288810364696	9.29135245149179
534	sexmale	0.9874	0.9634-1.012	-0.0127063788185937	0.312718633412526	0.0125643966582111
535	BMI	1.0039	0.9991-1.0087	0.00388690334983405	0.113168000041568	0.00244622889308427
536	hypertensionyes	0.9866	0.9653-1.0083	-0.0135038652456308	0.225724175232691	0.0111230947932087
537	s_Pyramidobacter_piscolens	0.3611	0.0994-1.3122	-1.0185440402686	0.122898918025341	0.658295981006715
538	sexmale	0.9846	0.9606-1.0091	-0.0155617796027971	0.217178147857248	0.0125826412198545
539	BMI	1.0039	0.9991-1.0087	0.00386265032318432	0.116436277352192	0.00245305509479455
540	hypertensionyes	0.9879	0.9665-1.0097	-0.0122113943870621	0.274224794678921	0.0111472187667668
541	s_Pygmaiobacter_massiliensis	0	0-1.28757681836e+82	-67.1939894398864	0.607690464682171	130.744249531592
542	sexmale	0.9855	0.9614-1.0102	-0.0146083554765915	0.247695549623606	0.0126118296294859
543	BMI	1.0039	0.999-1.0087	0.0038704159669718	0.118045291509146	0.00246884912385456
544	hypertensionyes	0.9873	0.9659-1.0092	-0.0128019830121088	0.253421471313138	0.0111870289239766
545	s_Pusillimonas_noertemannii	0	0-2.31741017662559e+146	-54.9108707582522	0.783816480849773	199.9636452012
546	sexmale	0.9855	0.9614-1.0102	-0.014615893546651	0.2478455887761	0.0126223510951778
547	BMI	1.004	0.9992-1.0088	0.00397898521322396	0.107155786467242	0.002462034826951
548	hypertensionyes	0.9876	0.9662-1.0096	-0.0124508391296269	0.267917782569367	0.0112168788843932
549	s_Psychrobacter_pulmonis	1.4795	0.3461-6.324	0.391684493861826	0.597572905527146	0.741155112941464
550	sexmale	0.9859	0.9618-1.0106	-0.0142255423688047	0.260550376615138	0.0126191176946249
551	BMI	1.004	0.9991-1.0088	0.00394733428299148	0.109875125061299	0.00246141043509083
552	hypertensionyes	0.9877	0.9663-1.0097	-0.0123314383468291	0.271909528618219	0.0112024809782604
553	s_Pseudomonas_stutzeri	0	0-1.61490080129754e+127	-48.536888075944	0.780737865797353	174.206361437567
554	sexmale	0.9855	0.9614-1.0102	-0.0146165171876532	0.247817531929322	0.0126221390431218
